epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7807,2.1608,3.86746,4.02249,0.04167,0.22907,0.25,0.19993,0.08455,1.85925,3.79243,3.60265,0.01024,0.00038,0.00038,0.00038
2,41.9767,1.8072,2.42823,2.70509,0.03283,0.65163,0.63769,0.68014,0.30315,1.73499,2.38669,3.23931,0.0068,0.000772278,0.000772278,0.000772278
3,47.6257,1.73898,1.818,2.53036,0.0542,0.73696,0.72165,0.80373,0.38032,1.66398,1.85187,3.04837,0.00734,0.00115664,0.00115664,0.00115664
4,54.6507,1.61592,1.44762,2.43488,0.02816,0.5977,0.79545,0.73935,0.3583,1.62333,1.669,2.68892,0.00777,0.00153307,0.00153307,0.00153307
5,60.2632,1.56454,1.32137,2.26145,0.02685,0.66063,0.73739,0.7771,0.39791,1.58744,1.93882,2.49083,0.00669,0.00190159,0.00190159,0.00190159
6,67.1684,1.59843,1.24317,2.32939,0.03665,0.62305,0.7197,0.72015,0.34676,1.71491,1.81455,2.38519,0.00814,0.001901,0.001901,0.001901
7,72.7475,1.59662,1.16549,2.16446,0.03422,0.76457,0.81189,0.86047,0.44453,1.44754,1.7093,2.3532,0.00567,0.0018812,0.0018812,0.0018812
8,79.6111,1.56962,1.15764,2.24859,0.04257,0.5845,0.78788,0.73541,0.40814,1.52591,1.48858,2.42594,0.00528,0.0018614,0.0018614,0.0018614
9,85.148,1.57478,1.11492,2.10467,0.02428,0.75842,0.78487,0.82623,0.41068,1.56859,1.40339,2.26641,0.00736,0.0018416,0.0018416,0.0018416
10,91.9432,1.49699,1.09655,2.19052,0.03153,0.76884,0.81818,0.82638,0.42216,1.52184,1.16852,2.31931,0.00523,0.0018218,0.0018218,0.0018218
11,97.5453,1.40383,1.01472,2.19494,0.03105,0.78234,0.84091,0.88324,0.48005,1.5421,1.06672,2.23832,0.00512,0.001802,0.001802,0.001802
